Ticker,URL,Filing Date
NVDA,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000082/nvda-20250409.htm,2025-04-15
GOOGL,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000040/goog-20250423.htm,2025-04-24
GOOGL,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000033/goog-20250417.htm,2025-04-18
AMZN,https://www.sec.gov/Archives/edgar/data/1018724/000110465925033450/tm254123d2_8k.htm,2025-04-10
META,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000027/meta-20250411.htm,2025-04-11
BRK-B,https://www.sec.gov/Archives/edgar/data/1067983/000119312525084458/d934563d8k.htm,2025-04-17
AVGO,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000037/avgo-20250421.htm,2025-04-22
TSLA,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018851/tsla-20250422.htm,2025-04-22
TSLA,https://www.sec.gov/Archives/edgar/data/1318605/000162828025016070/tsla-20250402.htm,2025-04-02
WMT,https://www.sec.gov/Archives/edgar/data/104169/000119312525098253/d926281d8k.htm,2025-04-28
WMT,https://www.sec.gov/Archives/edgar/data/104169/000010416925000036/wmt-20250409.htm,2025-04-09
JPM,https://www.sec.gov/Archives/edgar/data/19617/000119312525089203/d913996d8k.htm,2025-04-22
JPM,https://www.sec.gov/Archives/edgar/data/19617/000001961725000334/jpm-20250411.htm,2025-04-11
JPM,https://www.sec.gov/Archives/edgar/data/19617/000001961725000332/jpm-20250411.htm,2025-04-11
JPM,https://www.sec.gov/Archives/edgar/data/19617/000119312525078015/d885258d8k.htm,2025-04-10
V,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000035/v-20250429.htm,2025-04-29
XOM,https://www.sec.gov/Archives/edgar/data/34088/000003408825000017/xom-20250403.htm,2025-04-03
XOM,https://www.sec.gov/Archives/edgar/data/34088/000003408825000015/xom-20250402.htm,2025-04-03
XOM,https://www.sec.gov/Archives/edgar/data/34088/000119312525070417/d924442d8k.htm,2025-04-01
COST,https://www.sec.gov/Archives/edgar/data/909832/000090983225000023/cost-20250416.htm,2025-04-16
NFLX,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000175/nflx-20250411.htm,2025-04-17
UNH,https://www.sec.gov/Archives/edgar/data/731766/000073176625000125/unh-20250429.htm,2025-04-29
UNH,https://www.sec.gov/Archives/edgar/data/731766/000073176625000123/unh-20250417.htm,2025-04-17
PG,https://www.sec.gov/Archives/edgar/data/80424/000008042425000035/jfmq3fy25earningsslides.htm,2025-04-24
PG,https://www.sec.gov/Archives/edgar/data/80424/000008042425000032/pg-20250424.htm,2025-04-24
PG,https://www.sec.gov/Archives/edgar/data/80424/000008042425000025/april2025dividend.htm,2025-04-08
JNJ,https://www.sec.gov/Archives/edgar/data/200406/000020040625000110/jnj-20250415.htm,2025-04-15
JNJ,https://www.sec.gov/Archives/edgar/data/200406/000020040625000106/jnj-20250331.htm,2025-04-03
KO,https://www.sec.gov/Archives/edgar/data/21344/000002134425000024/ko-20250429.htm,2025-04-29
ABBV,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000026/abbv-20250425.htm,2025-04-25
ABBV,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000023/abbv-20250403.htm,2025-04-03
TMUS,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000078/tmus-20250424.htm,2025-04-24
TMUS,https://www.sec.gov/Archives/edgar/data/1283699/000119312525079096/d910059d8k.htm,2025-04-11
TMUS,https://www.sec.gov/Archives/edgar/data/1283699/000119312525072357/d886425d8k.htm,2025-04-03
BAC,https://www.sec.gov/Archives/edgar/data/70858/000119312525103911/d561572d8k.htm,2025-04-29
BAC,https://www.sec.gov/Archives/edgar/data/70858/000007085825000195/bac-20250422.htm,2025-04-24
BAC,https://www.sec.gov/Archives/edgar/data/70858/000007085825000187/bac-20250415.htm,2025-04-15
PM,https://www.sec.gov/Archives/edgar/data/1413329/000141332925000091/pm-20250423.htm,2025-04-23
ABT,https://www.sec.gov/Archives/edgar/data/1800/000110465925040201/tm2513267d1_8k.htm,2025-04-28
ABT,https://www.sec.gov/Archives/edgar/data/1800/000162828025017924/abt-20250416.htm,2025-04-16
IBM,https://www.sec.gov/Archives/edgar/data/51143/000005114325000035/ibm-20250429.htm,2025-04-29
IBM,https://www.sec.gov/Archives/edgar/data/51143/000005114325000031/ibm-20250423.htm,2025-04-24
IBM,https://www.sec.gov/Archives/edgar/data/51143/000005114325000026/ibm-20250423.htm,2025-04-23
WFC,https://www.sec.gov/Archives/edgar/data/72971/000119312525091460/d937411d8k.htm,2025-04-23
WFC,https://www.sec.gov/Archives/edgar/data/72971/000007297125000101/wfc-20250411.htm,2025-04-11
