Ticker,Accession Number,URL,Filing Date
MSFT,0000950170-25-061032,https://www.sec.gov/Archives/edgar/data/789019/000095017025061032/msft-20250430.htm,2025-04-30
AAPL,0000320193-25-000055,https://www.sec.gov/Archives/edgar/data/320193/000032019325000055/aapl-20250501.htm,2025-05-01
NVDA,0001045810-25-000082,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000082/nvda-20250409.htm,2025-04-15
AMZN,0001018724-25-000034,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000034/amzn-20250501.htm,2025-05-01
AMZN,0001104659-25-033450,https://www.sec.gov/Archives/edgar/data/1018724/000110465925033450/tm254123d2_8k.htm,2025-04-10
GOOGL,0001193125-25-113864,https://www.sec.gov/Archives/edgar/data/1652044/000119312525113864/d859422d8k.htm,2025-05-06
GOOGL,0001193125-25-110020,https://www.sec.gov/Archives/edgar/data/1652044/000119312525110020/d884388d8k.htm,2025-05-01
GOOGL,0001652044-25-000040,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000040/goog-20250423.htm,2025-04-24
GOOGL,0001652044-25-000033,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000033/goog-20250417.htm,2025-04-18
META,0001326801-25-000050,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000050/meta-20250430.htm,2025-04-30
META,0001326801-25-000027,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000027/meta-20250411.htm,2025-04-11
BRK-B,0001193125-25-113900,https://www.sec.gov/Archives/edgar/data/1067983/000119312525113900/d910967d8k.htm,2025-05-06
BRK-B,0001193125-25-084458,https://www.sec.gov/Archives/edgar/data/1067983/000119312525084458/d934563d8k.htm,2025-04-17
AVGO,0001730168-25-000037,https://www.sec.gov/Archives/edgar/data/1730168/000173016825000037/avgo-20250421.htm,2025-04-22
TSLA,0001628280-25-018851,https://www.sec.gov/Archives/edgar/data/1318605/000162828025018851/tsla-20250422.htm,2025-04-22
WMT,0001193125-25-098253,https://www.sec.gov/Archives/edgar/data/104169/000119312525098253/d926281d8k.htm,2025-04-28
WMT,0000104169-25-000036,https://www.sec.gov/Archives/edgar/data/104169/000010416925000036/wmt-20250409.htm,2025-04-09
LLY,0000059478-25-000129,https://www.sec.gov/Archives/edgar/data/59478/000005947825000129/lly-20250501.htm,2025-05-01
JPM,0001193125-25-089203,https://www.sec.gov/Archives/edgar/data/19617/000119312525089203/d913996d8k.htm,2025-04-22
JPM,0000019617-25-000334,https://www.sec.gov/Archives/edgar/data/19617/000001961725000334/jpm-20250411.htm,2025-04-11
JPM,0000019617-25-000332,https://www.sec.gov/Archives/edgar/data/19617/000001961725000332/jpm-20250411.htm,2025-04-11
JPM,0001193125-25-078015,https://www.sec.gov/Archives/edgar/data/19617/000119312525078015/d885258d8k.htm,2025-04-10
V,0001403161-25-000035,https://www.sec.gov/Archives/edgar/data/1403161/000140316125000035/v-20250429.htm,2025-04-29
MA,0001141391-25-000088,https://www.sec.gov/Archives/edgar/data/1141391/000114139125000088/ma-20250501.htm,2025-05-01
NFLX,0001065280-25-000175,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000175/nflx-20250411.htm,2025-04-17
XOM,0000034088-25-000022,https://www.sec.gov/Archives/edgar/data/34088/000003408825000022/xom-20250502.htm,2025-05-02
COST,0000909832-25-000023,https://www.sec.gov/Archives/edgar/data/909832/000090983225000023/cost-20250416.htm,2025-04-16
PG,0001193125-25-110040,https://www.sec.gov/Archives/edgar/data/80424/000119312525110040/d946236d8k.htm,2025-05-01
PG,0000080424-25-000035,https://www.sec.gov/Archives/edgar/data/80424/000008042425000035/jfmq3fy25earningsslides.htm,2025-04-24
PG,0000080424-25-000032,https://www.sec.gov/Archives/edgar/data/80424/000008042425000032/pg-20250424.htm,2025-04-24
PG,0000080424-25-000025,https://www.sec.gov/Archives/edgar/data/80424/000008042425000025/april2025dividend.htm,2025-04-08
JNJ,0000200406-25-000141,https://www.sec.gov/Archives/edgar/data/200406/000020040625000141/jnj-20250424.htm,2025-04-30
JNJ,0000200406-25-000110,https://www.sec.gov/Archives/edgar/data/200406/000020040625000110/jnj-20250415.htm,2025-04-15
HD,0000354950-25-000130,https://www.sec.gov/Archives/edgar/data/354950/000035495025000130/hd-20250506.htm,2025-05-06
UNH,0000731766-25-000125,https://www.sec.gov/Archives/edgar/data/731766/000073176625000125/unh-20250429.htm,2025-04-29
UNH,0000731766-25-000123,https://www.sec.gov/Archives/edgar/data/731766/000073176625000123/unh-20250417.htm,2025-04-17
ABBV,0001551152-25-000026,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000026/abbv-20250425.htm,2025-04-25
BAC,0001193125-25-103911,https://www.sec.gov/Archives/edgar/data/70858/000119312525103911/d561572d8k.htm,2025-04-29
BAC,0000070858-25-000195,https://www.sec.gov/Archives/edgar/data/70858/000007085825000195/bac-20250422.htm,2025-04-24
BAC,0000070858-25-000187,https://www.sec.gov/Archives/edgar/data/70858/000007085825000187/bac-20250415.htm,2025-04-15
KO,0000021344-25-000033,https://www.sec.gov/Archives/edgar/data/21344/000002134425000033/ko-20250430.htm,2025-05-02
KO,0000021344-25-000024,https://www.sec.gov/Archives/edgar/data/21344/000002134425000024/ko-20250429.htm,2025-04-29
PLTR,0001321655-25-000063,https://www.sec.gov/Archives/edgar/data/1321655/000132165525000063/pltr-20250505.htm,2025-05-05
TMUS,0001283699-25-000078,https://www.sec.gov/Archives/edgar/data/1283699/000128369925000078/tmus-20250424.htm,2025-04-24
TMUS,0001193125-25-079096,https://www.sec.gov/Archives/edgar/data/1283699/000119312525079096/d910059d8k.htm,2025-04-11
PM,0001104659-25-042567,https://www.sec.gov/Archives/edgar/data/1413329/000110465925042567/tm2513464d1_8k.htm,2025-04-30
PM,0001413329-25-000091,https://www.sec.gov/Archives/edgar/data/1413329/000141332925000091/pm-20250423.htm,2025-04-23
